t,e,c,v
1721923727531,h,s,segment.MW
1721923728959,c,pr,s6
1721923733452,c,pr,s7
1721923737299,m,mi,
1721923737317,ml,mi,
1721923737350,h,s,segment.MY
1721923737529,h,s,segment.MY
1721923737531,h,s,segment.MW
1721923737547,h,s,segment.MW
1721923737550,h,s,segment.MX
1721923737845,h,s,segment.MX
1721923737848,h,s,segment.MZ
1721923738411,h,s,segment.MZ
1721923738414,h,t,triangle.MYZ
1721923738812,h,t,triangle.MYZ
1721923738814,h,s,segment.MZ
1721923738830,h,s,segment.MZ
1721923738896,h,s,segment.MX
1721923739378,h,s,segment.MX
1721923739529,h,s,segment.MZ
1721923739595,h,s,segment.MZ
1721923739596,h,t,triangle.MYZ
1721923739730,h,t,triangle.MYZ
1721923739732,h,s,segment.MZ
1721923739763,h,s,segment.MZ
1721923739813,h,s,segment.MX
1721923740259,h,s,segment.MX
1721923740262,h,s,segment.MZ
1721923740293,h,s,segment.MZ
1721923740296,h,s,segment.MY
1721923740312,h,s,segment.MY
1721923740328,h,s,segment.MY
1721923740743,h,s,segment.MY
1721923740747,h,t,triangle.MYZ
1721923740776,h,t,triangle.MYZ
1721923740811,h,t,triangle.MYZ
1721923740843,h,t,triangle.MYZ
1721923740845,h,s,segment.YZ
1721923740911,h,s,segment.YZ
1721923742277,h,s,segment.YZ
1721923742310,h,s,segment.YZ
1721923742313,h,po,Z
1721923742363,h,po,Z
1721923742366,h,s,segment.MZ
1721923742397,h,s,segment.MZ
1721923742399,h,po,Z
1721923742446,h,po,Z
1721923743097,h,s,segment.MZ
1721923743232,h,s,segment.MZ
1721923743233,h,s,segment.MW
1721923743898,h,s,segment.MW
1721923744199,h,s,segment.MW
1721923744316,h,s,segment.MW
1721923744319,h,t,triangle.MWX
1721923744498,h,t,triangle.MWX
1721923744581,h,t,triangle.MWX
1721923745247,h,t,triangle.MWX
1721923745251,h,s,segment.MX
1721923745397,h,s,segment.MX
1721923749867,h,s,segment.MZ
1721923749901,h,s,segment.MZ
1721923749904,h,t,triangle.MYZ
1721923749938,h,t,triangle.MYZ
1721923749942,h,s,segment.MY
1721923750013,h,s,segment.MY
1721923864991,c,pr-r,s1
1721923865598,c,pr-r,s2
1721923866109,c,pr-r,s3
1721923868915,c,pr-r,s4
1721923894482,c,pr-r,s5
1721923896088,c,pr-r,s6
1721923896838,c,pr-r,s7
1721923897453,c,pr-r,s8
1721923898255,c,pr-r,s9
1721923961827,c,pr,s4
1721923965862,h,s,segment.LN
1721923966277,h,s,segment.LN
1721923966280,h,s,segment.LQ
1721923966561,h,s,segment.LQ
1721923968694,h,s,segment.LN
1721923968711,h,s,segment.LN
1721923968715,h,s,segment.NU
1721923968761,h,s,segment.NU
1721923968766,h,t,triangle.LPS
1721923968827,h,t,triangle.LPS
1721923968831,h,s,segment.PS
1721923968976,h,s,segment.PS
1721923968979,h,t,triangle.PSU
1721923969010,h,t,triangle.PSU
1721923969014,h,s,segment.PU
1721923969460,h,s,segment.PU
1721923969463,h,t,triangle.PSU
1721923969577,h,t,triangle.PSU
1721923969580,h,s,segment.LQ
1721923969595,h,s,segment.LQ
1721923969598,h,s,segment.NU
1721923969613,h,s,segment.NU
1721923969628,h,s,segment.LU
1721923969660,h,s,segment.LU
1721923983353,c,pr,s5
1721923984242,p,l,USP
1721923984264,p,l,LSP
1721923984842,p,l,PSL
1721923985308,p,l,USP
1721923985377,p,l,SUP
1721923985527,p,l,SUP
1721923986256,c,pr,s6
1721923989178,m,mi,
1721923989228,ml,mi,
1721923989235,m,re,
1721923989261,ml,re,
1721923990346,h,s,segment.QU
1721923990363,h,s,segment.QU
1721923990379,h,s,segment.NU
1721923990396,h,s,segment.NU
1721923990398,h,s,segment.LU
1721923990448,h,s,segment.LU
1721923990910,h,s,segment.LU
1721923991027,h,s,segment.LU
1721923991045,h,po,S
1721923991061,h,po,S
1721923991077,h,s,segment.NU
1721923991094,h,s,segment.NU
1721923991097,h,s,segment.LQ
1721923991110,h,s,segment.LQ
1721923991111,h,t,triangle.PSU
1721923991193,h,t,triangle.PSU
1721923991196,h,s,segment.PU
1721923991227,h,s,segment.PU
1721923991510,h,s,segment.PU
1721923991561,h,s,segment.PU
1721923991564,h,s,segment.PS
1721923991761,h,s,segment.PS
1721923991764,h,t,triangle.LPS
1721923992477,h,t,triangle.LPS
1721923992480,h,s,segment.LP
1721923992561,h,s,segment.LP
1721923992564,h,t,triangle.LPS
1721923992611,h,t,triangle.LPS
1721923992627,h,t,triangle.LPS
1721923992744,h,t,triangle.LPS
1721923992747,h,s,segment.NU
1721923992793,h,s,segment.NU
1721923992795,h,t,triangle.LNU
1721923992812,h,t,triangle.LNU
1721923992815,h,s,segment.LQ
1721923992830,h,s,segment.LQ
1721923992860,h,s,segment.PS
1721923992893,h,s,segment.PS
1721923992897,h,t,triangle.LQU
1721923992911,h,t,triangle.LQU
1721923992913,h,s,segment.LU
1721923993008,h,s,segment.LU
1721923993010,h,s,segment.NU
1721923993225,h,s,segment.NU
1721923993230,h,s,segment.LU
1721923993343,h,s,segment.LU
1721923993575,h,s,segment.LU
1721923993592,h,s,segment.LU
1721923993596,h,t,triangle.LQU
1721923993610,h,t,triangle.LQU
1721923993613,h,s,segment.LQ
1721923993628,h,s,segment.LQ
1721923993631,h,s,segment.NU
1721923993644,h,s,segment.NU
1721923993645,h,t,triangle.LPS
1721923993692,h,t,triangle.LPS
1721923993696,h,s,segment.LP
1721923993725,h,s,segment.LP
1721923994292,h,s,segment.LP
1721923994592,h,s,segment.LP
1721923994593,h,t,triangle.LPS
1721923994626,h,t,triangle.LPS
1721923994644,h,t,triangle.LPS
1721923994693,h,t,triangle.LPS
1721923994698,h,s,segment.NU
1721923995059,h,s,segment.NU
1721923995062,h,s,segment.LN
1721923995392,h,s,segment.LN
1721923995393,h,s,segment.LQ
1721923995426,h,s,segment.LQ
1721923995428,h,s,segment.LN
1721923995445,h,s,segment.LN
1721923995560,m,mi,
1721923995626,ml,mi,
1721924262649,c,pr-r,s1
1721924262844,c,pr-r,s2
1721924263025,c,pr-r,s3
1721924263369,c,pr-r,s4
1721924263526,c,pr-r,s5
1721924263708,c,pr-r,s6
1721924263849,c,pr-r,s7
1721924264269,c,pr-r,s8
1721924264749,c,pr-r,s9
1721924270394,h,s,segment.PU
1721924270411,h,s,segment.PU
1721924284469,h,s,segment.PS
1721924284486,h,s,segment.PS
1721924284489,h,s,segment.PU
1721924284520,h,s,segment.PU
1721924285598,h,po,Q
1721924285612,h,po,Q
1721924285614,h,s,segment.PU
1721924285629,h,s,segment.PU
1721924285633,h,s,segment.LQ
1721924285737,h,s,segment.LQ
1721924285741,h,s,segment.NU
1721924287595,h,s,segment.NU
1721924287600,h,s,segment.LQ
1721924287688,h,s,segment.LQ
1721924287692,h,s,segment.NU
1721924287706,h,s,segment.NU
1721924287710,h,t,triangle.LPS
1721924287725,h,t,triangle.LPS
1721924287739,h,s,segment.LP
1721924287756,h,s,segment.LP
1721924298521,p,l,UPS
1721924300112,c,pr,given
1721924302152,c,pr,s2
1721924303337,c,pr,s5
1721924303802,c,pr,s4
1721924304627,c,pr,s5
1721924305580,c,pr,s6
1721924320913,h,s,segment.LN
1721924320977,h,s,segment.LN
1721924320980,h,t,triangle.LNU
1721924320998,h,t,triangle.LNU
1721924321072,h,s,segment.LQ
1721924322222,h,s,segment.LQ
1721924322226,h,s,segment.LU
1721924322239,h,s,segment.LU
1721924322306,m,mi,
1721924322338,ml,mi,
1721924354022,h,s,segment.LP
1721924354040,h,s,segment.LP
1721924354044,h,s,segment.PS
1721924354122,h,s,segment.PS
1721924354128,h,s,segment.PU
1721924354141,h,s,segment.PU
